"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
1.87511678136935e-05,1.60323315177998,0.182,0.073,0.628876666135653,"KIF26B","identity","migrating+mature",0.109,NA,NA,NA,NA
1.94857958825158e-05,0.576954410989881,0.645,0.506,0.653514622307814,"PLEKHA5","identity","migrating+mature",0.139,NA,NA,NA,NA
2.09312207811385e-05,0.282362383723457,0.971,0.959,0.701991282557822,"RAC1","identity","migrating+mature",0.012,NA,NA,NA,NA
2.13562417678593e-05,0.471511109156397,0.774,0.687,0.716245636410466,"ATP1B3","identity","migrating+mature",0.087,NA,NA,NA,NA
2.49275189615456e-05,0.251332146532527,0.971,0.953,0.836019130932316,"SUB1","identity","migrating+mature",0.018,NA,NA,NA,NA
2.67374961665866e-05,0.670164368935998,0.589,0.472,0.896722146434982,"ARG2","identity","migrating+mature",0.117,NA,NA,NA,NA
3.76311241231767e-05,0.862357851508333,0.334,0.193,1,"SPINT2","identity","migrating+mature",0.141,NA,NA,NA,NA
4.10752169404683e-05,0.589999431287022,0.584,0.453,1,"ACOT7","identity","migrating+mature",0.131,NA,NA,NA,NA
4.13614712741005e-05,0.266423175539034,0.991,0.987,1,"RPL27A","identity","migrating+mature",0.004,NA,NA,NA,NA
4.40761990357741e-05,2.82460775634833,0.109,0.028,1,"PTTG1","identity","migrating+mature",0.081,NA,NA,NA,NA
4.42671953309052e-05,0.896087107998479,0.375,0.237,1,"IGLON5","identity","migrating+mature",0.138,NA,NA,NA,NA
4.73359151105092e-05,1.74774866882484,0.12,0.035,1,"REPS2","identity","migrating+mature",0.085,NA,NA,NA,NA
5.35443452012065e-05,1.79091418048782,0.152,0.057,1,"SOX6","identity","migrating+mature",0.095,NA,NA,NA,NA
6.85820897201596e-05,0.492597669660377,0.648,0.522,1,"RBM3","identity","migrating+mature",0.126,NA,NA,NA,NA
7.29465270489383e-05,1.09249019254569,0.12,0.035,1,"COL4A6","identity","migrating+mature",0.085,NA,NA,NA,NA
7.38978555382932e-05,1.14610774823888,0.214,0.101,1,"GNAL","identity","migrating+mature",0.113,NA,NA,NA,NA
9.54790172362572e-05,0.90678223372007,0.29,0.161,1,"TCF20","identity","migrating+mature",0.129,NA,NA,NA,NA
0.00010202932633804,1.1853346844255,0.243,0.136,1,"GREB1L","identity","migrating+mature",0.107,NA,NA,NA,NA
0.000103124778007499,1.1408662771069,0.252,0.136,1,"INAFM1","identity","migrating+mature",0.116,NA,NA,NA,NA
0.00010486976541929,0.309087996625221,0.868,0.854,1,"FAM89B","identity","migrating+mature",0.014,NA,NA,NA,NA
0.000112373515162685,0.429364544451985,0.698,0.56,1,"SEPT3","identity","migrating+mature",0.138,NA,NA,NA,NA
0.000129627625962161,1.22820630271439,0.202,0.098,1,"SCRT2","identity","migrating+mature",0.104,NA,NA,NA,NA
0.000148758491911818,0.744607907682986,0.478,0.335,1,"FGF14","identity","migrating+mature",0.143,NA,NA,NA,NA
0.000159517202110584,1.40230508264843,0.117,0.038,1,"SERTAD4-AS1","identity","migrating+mature",0.079,NA,NA,NA,NA
